Is reference?,Flow,Category,Amount,Unit,Costs/Revenues,Currency,Uncertainty,(G)Mean | Mode,SD | GSD,Minimum,Maximum,Is avoided?,Provider,Data quality entry,Location,Description,Source_File,Contribution Category
,"Water, cooling, unspecified natural origin, CA",Elementary flows/Resource/unspecified,27.34124863,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,acrylic acid,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",3.7e-05,kg,,,,,,,,,"market for acrylic acid | acrylic acid | Cutoff, U",,Rest-of-World,Proxy for antiscalants,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"chlorine, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",3e-05,kg,,,,,,,,,"market for chlorine, liquid | chlorine, liquid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",3.823186,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumption of BoP,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",75.077681,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumptio of electrolyzer and inverter,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"sodium hydroxide, without water, in 50% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",2.1e-05,kg,,,,,,,,,"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",,Rest-of-World,Caustic Soda,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,sulfuric acid,C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,0.000187,kg,,,,,,,,,"market for sulfuric acid | sulfuric acid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"Water, cooling, unspecified natural origin, CA",Elementary flows/Resource/unspecified,17.466249,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,acrylic acid,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",2.445e-05,kg,,,,,,,,,"market for acrylic acid | acrylic acid | Cutoff, U",,Rest-of-World,Proxy for antiscalants,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"chlorine, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1.935e-05,kg,,,,,,,,,"market for chlorine, liquid | chlorine, liquid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",3.42118633,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumption of BoP,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",48.36193258,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumptio of electrolyzer and inverter,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,1.09051727,l,,,,,,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",,Canada,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"sodium hydroxide, without water, in 50% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1.38e-05,kg,,,,,,,,,"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",,Rest-of-World,Caustic Soda,hydrogen_soec_electrolysis_with_natual_gas_combust,
,sulfuric acid,C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,0.0001212,kg,,,,,,,,,"market for sulfuric acid | sulfuric acid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"Water, cooling, unspecified natural origin, CA",Elementary flows/Resource/unspecified,17.46624918,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"activated carbon, granular",C:Manufacturing/20:Manufacture of chemicals and chemical products/202:Manufacture of other chemical products/2029:Manufacture of other chemical products n.e.c.,0.000432,kg,,,log-normal,0.000692491,1.3173282737856964,,,,"market for activated carbon, granular | activated carbon, granular | Cutoff, U",(3;5;4;3;1),Global,"Molecular sieve is pressure swing absorption bed component: activated carbon; 75.40 metric-tonne/year._x000D_
(replenished every 3 years), based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"aluminium oxide, metallurgical",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,3e-06,kg,,,log-normal,7.83952e-06,1.3173282737856964,,,,"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",(3;5;4;3;1),Rest-of-World,"Copper-Zinc-Alumina _x000D_
(Cu/Zn/Al : 40/45/15 wt%)_x000D_
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"aluminium oxide, metallurgical",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,1.7e-05,kg,,,log-normal,7.83952e-06,1.31733,,,,"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,"Catalyst- Nickel-Alumina (Ni (15%) - Al2O3 (85%))_x000D_
Reactor volume calculations are done separate from Aspen simulations._x000D_
Replenished every 3 years based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,copper oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",9e-06,kg,,,log-normal,2.09e-05,1.3173282737856964,,,,"market for copper oxide | copper oxide | Cutoff, U",(3;5;4;3;1),Global,"Copper-Zinc-Alumina _x000D_
(Cu/Zn/Al : 40/45/15 wt%)_x000D_
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",0.001519,kWh,,,log-normal,1.31,1.3173282737856964,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",(3;5;4;3;1),"Canada, Alberta",Power consumption 5.82 MW in hydrogen compression. Electricity consumption is estimated based on the Aspen plus process electricity demand.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,3.55518,m3,,,log-normal,3.93,1.2031822824698697,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",(4;1;2;2;1),Canada,Natural gas of Alberta with the density of 0.717 kg/m3 and the higher heating value (HHV) of 38.84 MJ/m3 was considered for both feedstock and fuel. The composition of natural gas is assumed to be that reported by Enbridge. The HHV of 38.84 MJ/m3 represents the average of the monthly HHV values reported by Enbridge in 2021.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"nickel, class 1",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,3e-06,kg,,,log-normal,1.0,1.3173282737856964,,,,"market for nickel, class 1 | nickel, class 1 | Cutoff, U",(3;5;4;3;1),Global,"Catalyst- Nickel-Alumina (Ni (15%) - Al2O3 (85%))_x000D_
Reactor volume calculations are done separate from Aspen simulations._x000D_
Replenished every 3 years based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",8.999185,kg,,,log-normal,5.09,1.3173282737856964,,,,"market for water, deionised | water, deionised | Cutoff, U",(3;5;4;3;1),Rest-of-World,Deionised water is used as feed water for steam generation.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",1.034029,kg,,,log-normal,5.09,1.31733,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Water for electricity generation.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,zinc oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1e-06,kg,,,log-normal,2.35e-05,1.3173282737856964,,,,"market for zinc oxide | zinc oxide | Cutoff, U",(3;5;4;3;1),Global,"A zinc-oxide sulfur-guard bed was used to remove 98% of the sulfur in the feed, resulting in a maximum sulfur content of 0.1 ppm post-sulfur guard bed. Replenished every 3 years.","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,zinc oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1e-05,kg,,,log-normal,0.000336,1.3173282737856964,,,,"market for zinc oxide | zinc oxide | Cutoff, U",(3;5;4;3;1),Global,"Copper-Zinc-Alumina _x000D_
(Cu/Zn/Al : 40/45/15 wt%)_x000D_
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"activated carbon, granular",C:Manufacturing/20:Manufacture of chemicals and chemical products/202:Manufacture of other chemical products/2029:Manufacture of other chemical products n.e.c.,0.000432,kg,,,log-normal,0.000692491,1.3173282737856964,,,,"market for activated carbon, granular | activated carbon, granular | Cutoff, U",(3;5;4;3;1),Global,"Molecular sieve is pressure swing absorption bed component: activated carbon; 75.40 metric-tonne/year.
(replenished every 3 years), based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"aluminium oxide, metallurgical",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,3e-06,kg,,,log-normal,7.83952e-06,1.3173282737856964,,,,"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",(3;5;4;3;1),Rest-of-World,"Copper-Zinc-Alumina 
(Cu/Zn/Al : 40/45/15 wt%)
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"aluminium oxide, metallurgical",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,1.7e-05,kg,,,log-normal,7.83952e-06,1.31733,,,,"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,"Catalyst- Nickel-Alumina (Ni (15%) - Al2O3 (85%))
Reactor volume calculations are done separate from Aspen simulations.
Replenished every 3 years based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"carbon dioxide, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",8.425769,kg,,,log-normal,1.0,1.3173282737856964,,,x,,(3;5;4;3;1),,"The CO2 is in the form of vapour; however, ""carbon dioxide, liquid"" is considered here as a proxy.
",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,copper oxide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",9e-06,kg,,,log-normal,2.09e-05,1.3173282737856964,,,,"market for copper oxide | copper oxide | Cutoff, U",(3;5;4;3;1),Global,"Copper-Zinc-Alumina 
(Cu/Zn/Al : 40/45/15 wt%)
In the water gas shift reactor; 3.80 metric-tonne replenished every 3 years: compositiopn (%mass): 40% copper oxide, 45% zinc oxide; 15% alumina oxide. Based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification)",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",2.331265,kWh,,,log-normal,1.31,1.3173282737856964,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",(3;5;4;3;1),"Canada, Alberta","Power consumption 5 MW.
Electricity consumption is estimated based on the Aspen plus process electricity demand.",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"heat, district or industrial, natural gas","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",32.48731,MJ,,,,,,,,,"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Carbon capture heating demand,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,monoethanolamine,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",0.012534,kg,,,log-normal,1.0,1.3173282737856964,,,,"market for monoethanolamine | monoethanolamine | Cutoff, U",(3;5;4;3;1),Global,Solvent at flue gas carbon capture,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,4.78360251,m3,,,log-normal,3.93,1.2031822824698697,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",(4;1;2;2;1),Canada,Natural gas of Alberta with the density of 0.717 kg/m3 and the higher heating value (HHV) of 38.84 MJ/m3 was considered for both feedstock and fuel. The composition of natural gas is assumed to be that reported by Enbridge. The HHV of 38.84 MJ/m3 represents the average of the monthly HHV values reported by Enbridge in 2021.,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"nickel, class 1",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,3e-06,kg,,,log-normal,1.0,1.3173282737856964,,,,"market for nickel, class 1 | nickel, class 1 | Cutoff, U",(3;5;4;3;1),Global,"Catalyst- Nickel-Alumina (Ni (15%) - Al2O3 (85%))
Reactor volume calculations are done separate from Aspen simulations.
Replenished every 3 years based on assumptions in NREL report (Techno-Economic Analysis of Biofuels Production Based on Gasification).",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",0.270728,kg,,,log-normal,5.09,1.31733,,,,"market for water, deionised | water, deionised | Cutoff, U",(3; 5; 4; 3; 1),Rest-of-World,Water Make-up,hydrogen_steam_methane_reforming_of_natural_gas_wi,
